target,mean_IRR,power,n
0.631283645506926,0.630856349755705,0.999,700
0.637628151621773,0.63710525723995,1,700
0.644036421083141,0.643420910653608,0.996,700
0.650509094723317,0.651021281846182,1,700
0.657046819815057,0.658832759682921,0.996,700
0.663650250136319,0.661540370268569,0.994,700
0.670320046035639,0.670409153947776,0.991,700
0.677056874498165,0.67679738362314,0.991,700
0.683861409212356,0.681282102457804,0.99,700
0.690734330637355,0.689598422632398,0.982,700
0.697676326071031,0.698201381837985,0.98,700
0.704688089718713,0.705358812794021,0.978,700
0.71177032276261,0.711180866241803,0.967,700
0.718923733431926,0.722314948646334,0.95,700
0.726149037073691,0.723551569626204,0.952,700
0.733446956224289,0.734086655811449,0.921,700
0.740818220681718,0.742412627492862,0.915,700
0.748263567578565,0.747176820621063,0.91,700
0.755783741455725,0.754500101806435,0.89,700
0.763379494336853,0.764045090341384,0.872,700
0.771051585803566,0.771885774747496,0.837,700
0.778800783071405,0.776683925600028,0.798,700
0.786627861066553,0.784955770174851,0.785,700
0.794533602503334,0.79344335287408,0.759,700
0.802518797962479,0.800781446254871,0.722,700
0.810584245970187,0.807494856726228,0.687,700
0.818730753077982,0.817381800713914,0.639,700
0.826959133943362,0.82572297125018,0.592,700
0.835270211411272,0.834999999049616,0.552,700
0.843664816596384,0.845526396890649,0.486,700
0.852143788966211,0.856255359188498,0.434,700
0.860707976425058,0.862501595046883,0.417,700
0.869358235398806,0.867233488509039,0.382,700
0.878095430920561,0.880769196903451,0.312,700
0.886920436717158,0.888968548881732,0.281,700
0.895834135296528,0.892653494964251,0.28,700
0.90483741803596,0.903362312504558,0.218,700
0.913931185271228,0.913133175385079,0.184,700
0.923116346386636,0.919489570249012,0.164,700
0.932393819905948,0.934114821049894,0.112,700
0.941764533584249,0.940111409038941,0.12,700
0.951229424500714,0.954356661807275,0.094,700
0.960789439152323,0.962946570019524,0.081,700
0.970445533548508,0.971231876328068,0.083,700
0.980198673306755,0.984262079776035,0.058,700
0.990049833749168,0.989634592787568,0.055,700
1,1.00104742321297,0.04,700
0.606530659712633,0.605185303718137,1,800
0.612626394184416,0.613109088026945,1,800
0.618783391806141,0.616760270454966,0.999,800
0.625002268282701,0.623073374959007,1,800
0.631283645506926,0.629663358890775,1,800
0.637628151621773,0.636012415071067,1,800
0.644036421083141,0.641435491443162,0.998,800
0.650509094723317,0.648119099313634,1,800
0.657046819815057,0.652020512669313,0.999,800
0.663650250136319,0.662160606513635,0.996,800
0.670320046035639,0.668832406390317,0.995,800
0.677056874498165,0.677190897153613,0.997,800
0.683861409212356,0.683591150042893,0.992,800
0.690734330637355,0.686692824162858,0.99,800
0.697676326071031,0.698317775794207,0.988,800
0.704688089718713,0.703424539518923,0.982,800
0.71177032276261,0.712964104331175,0.98,800
0.718923733431926,0.717054968462404,0.975,800
0.726149037073691,0.723288514033423,0.974,800
0.733446956224289,0.72985433896543,0.959,800
0.740818220681718,0.739899627821727,0.964,800
0.748263567578565,0.747665012812532,0.947,800
0.755783741455725,0.753038418486312,0.921,800
0.763379494336853,0.763236880013908,0.903,800
0.771051585803566,0.768151440409426,0.882,800
0.778800783071405,0.782729467303885,0.822,800
0.786627861066553,0.789419977258068,0.822,800
0.794533602503334,0.791395028278113,0.799,800
0.802518797962479,0.805192944090737,0.761,800
0.810584245970187,0.811702328557803,0.725,800
0.818730753077982,0.817227384651413,0.696,800
0.826959133943362,0.829534385427209,0.648,800
0.835270211411272,0.833972339060905,0.623,800
0.843664816596384,0.843877926127574,0.543,800
0.852143788966211,0.85222268720852,0.523,800
0.860707976425058,0.857786927807824,0.491,800
0.869358235398806,0.870611982306401,0.41,800
0.878095430920561,0.875776778455907,0.374,800
0.886920436717158,0.887687028382997,0.316,800
0.895834135296528,0.89536470104248,0.263,800
0.90483741803596,0.904191768421866,0.246,800
0.913931185271228,0.914197755867716,0.204,800
0.923116346386636,0.924141302004703,0.17,800
0.932393819905948,0.934911770761307,0.122,800
0.941764533584249,0.938975283787395,0.119,800
0.951229424500714,0.954912233105889,0.09,800
0.960789439152323,0.960375939756236,0.073,800
0.970445533548508,0.973719474114256,0.067,800
0.980198673306755,0.97979088530878,0.052,800
0.990049833749168,0.987136985338603,0.063,800
1,1.00243948177695,0.055,800
0.606530659712633,0.604588236799843,1,900
0.612626394184416,0.61186677247632,1,900
0.618783391806141,0.617023879854742,1,900
0.625002268282701,0.623591268734768,1,900
0.631283645506926,0.634427223865471,1,900
0.637628151621773,0.635236090489635,1,900
0.644036421083141,0.644217372946026,1,900
0.650509094723317,0.650186397498151,1,900
0.657046819815057,0.653942129226906,1,900
0.663650250136319,0.665248842803007,0.999,900
0.670320046035639,0.667586740471606,0.997,900
0.677056874498165,0.676804804918741,1,900
0.683861409212356,0.685733029449363,0.994,900
0.690734330637355,0.693032949650338,0.996,900
0.697676326071031,0.696984583489425,0.993,900
0.704688089718713,0.704515309700368,0.991,900
0.71177032276261,0.710153714245926,0.989,900
0.718923733431926,0.71805545142522,0.993,900
0.726149037073691,0.726114432955039,0.978,900
0.733446956224289,0.731792788105322,0.976,900
0.740818220681718,0.73823762179395,0.969,900
0.748263567578565,0.746745020136746,0.965,900
0.755783741455725,0.754663636923848,0.958,900
0.763379494336853,0.760910581373388,0.937,900
0.771051585803566,0.770570798192267,0.914,900
0.778800783071405,0.77549349573979,0.906,900
0.786627861066553,0.788796249438328,0.87,900
0.794533602503334,0.79499923536304,0.84,900
0.802518797962479,0.802553015553569,0.819,900
0.810584245970187,0.808097398239189,0.81,900
0.818730753077982,0.817597037354295,0.741,900
0.826959133943362,0.826071238086187,0.728,900
0.835270211411272,0.836159997560403,0.64,900
0.843664816596384,0.845069577240038,0.59,900
0.852143788966211,0.85277533376813,0.551,900
0.860707976425058,0.861389562280302,0.497,900
0.869358235398806,0.870392212006605,0.455,900
0.878095430920561,0.875240783768804,0.442,900
0.886920436717158,0.886713660343642,0.361,900
0.895834135296528,0.896858453520087,0.313,900
0.90483741803596,0.902352078298475,0.297,900
0.913931185271228,0.917557940574647,0.187,900
0.923116346386636,0.921288608201632,0.218,900
0.932393819905948,0.932173690295613,0.134,900
0.941764533584249,0.944035654314857,0.116,900
0.951229424500714,0.951015790343053,0.125,900
0.960789439152323,0.960169711540161,0.095,900
0.970445533548508,0.970117152810673,0.078,900
0.980198673306755,0.981936390312032,0.057,900
0.990049833749168,0.990329318437199,0.043,900
1,1.00295518089271,0.053,900
0.606530659712633,0.60387462772959,1,1000
0.612626394184416,0.609319469445996,1,1000
0.618783391806141,0.616548990403502,1,1000
0.625002268282701,0.62361808940453,1,1000
0.631283645506926,0.632332968835752,1,1000
0.637628151621773,0.638255992232783,1,1000
0.644036421083141,0.643050753606488,1,1000
0.650509094723317,0.65152181223857,1,1000
0.657046819815057,0.660695961133514,1,1000
0.663650250136319,0.665358815378021,0.999,1000
0.670320046035639,0.670909675420628,1,1000
0.677056874498165,0.678040978394449,1,1000
0.683861409212356,0.684091412905517,1,1000
0.690734330637355,0.69169613596697,0.999,1000
0.697676326071031,0.698983754328582,0.998,1000
0.704688089718713,0.702166158954645,0.997,1000
0.71177032276261,0.709515927410614,0.994,1000
0.718923733431926,0.718495336127854,0.993,1000
0.726149037073691,0.72267864707144,0.989,1000
0.733446956224289,0.733234138081571,0.99,1000
0.740818220681718,0.740980420426279,0.982,1000
0.748263567578565,0.746584605610617,0.974,1000
0.755783741455725,0.756037503771375,0.967,1000
0.763379494336853,0.763572883842438,0.965,1000
0.771051585803566,0.772466556326772,0.939,1000
0.778800783071405,0.777491968726837,0.927,1000
0.786627861066553,0.784534477569328,0.91,1000
0.794533602503334,0.794548351126903,0.888,1000
0.802518797962479,0.800786972427434,0.865,1000
0.810584245970187,0.811392569323065,0.815,1000
0.818730753077982,0.819495636570083,0.782,1000
0.826959133943362,0.826302320338779,0.753,1000
0.835270211411272,0.833917727041041,0.691,1000
0.843664816596384,0.845686523234111,0.645,1000
0.852143788966211,0.850821892045234,0.629,1000
0.860707976425058,0.861594850314355,0.55,1000
0.869358235398806,0.867724007266335,0.496,1000
0.878095430920561,0.88067266192119,0.405,1000
0.886920436717158,0.885706860297333,0.395,1000
0.895834135296528,0.894119327784008,0.363,1000
0.90483741803596,0.903938586377308,0.306,1000
0.913931185271228,0.913941970907086,0.235,1000
0.923116346386636,0.923160650420707,0.191,1000
0.932393819905948,0.934524351950707,0.153,1000
0.941764533584249,0.940776222129245,0.144,1000
0.951229424500714,0.947487513550082,0.139,1000
0.960789439152323,0.958442987348352,0.101,1000
0.970445533548508,0.971012853677226,0.087,1000
0.980198673306755,0.98180221200698,0.055,1000
0.990049833749168,0.989356871744804,0.06,1000
1,1.00337343977142,0.048,1000
0.606530659712633,0.606742006086272,1,1100
0.612626394184416,0.609022677757935,1,1100
0.618783391806141,0.617823557307074,1,1100
0.625002268282701,0.622478577670071,1,1100
0.631283645506926,0.632056762845216,1,1100
0.637628151621773,0.635033366412554,1,1100
0.644036421083141,0.644307384529446,1,1100
0.650509094723317,0.64924387744426,1,1100
0.657046819815057,0.656884294572492,1,1100
0.663650250136319,0.661179318773877,1,1100
0.670320046035639,0.673197844528096,0.999,1100
0.677056874498165,0.67415366530572,0.999,1100
0.683861409212356,0.68201485335341,1,1100
0.690734330637355,0.691519512013045,0.999,1100
0.697676326071031,0.695005320991531,1,1100
0.704688089718713,0.705250029573996,0.998,1100
0.71177032276261,0.709230771271225,0.995,1100
0.718923733431926,0.718774613804505,0.995,1100
0.726149037073691,0.728091789586648,0.993,1100
0.733446956224289,0.732177749713783,0.991,1100
0.740818220681718,0.742278640433092,0.985,1100
0.748263567578565,0.745842555045222,0.988,1100
0.755783741455725,0.756656182188464,0.979,1100
0.763379494336853,0.765508347671264,0.961,1100
0.771051585803566,0.770793786518193,0.959,1100
0.778800783071405,0.781680781049435,0.935,1100
0.786627861066553,0.789358861631999,0.926,1100
0.794533602503334,0.795339780413226,0.905,1100
0.802518797962479,0.80246890221237,0.873,1100
0.810584245970187,0.80744048267948,0.872,1100
0.818730753077982,0.814296404878154,0.854,1100
0.826959133943362,0.828766538784013,0.784,1100
0.835270211411272,0.834908085286588,0.745,1100
0.843664816596384,0.844038020231972,0.705,1100
0.852143788966211,0.850827517894872,0.649,1100
0.860707976425058,0.858040537962881,0.613,1100
